country_id,Date_ID,total_vaccinated,people_fully_vaccinated,daily_vaccinations,vaccines_id,source_id
1,1,0,,,1,1
2,2,,,1367,2,2
3,3,,,1367,3,3
4,4,,,1367,4,4
5,5,,,1367,5,5
6,6,,,1367,6,6
7,7,8200,,1367,7,7
8,8,,,1580,8,8
9,9,,,1794,9,9
10,10,,,2008,10,10
11,11,,,2221,11,11
12,12,,,2435,12,12
13,13,,,2649,13,13
14,14,,,2862,14,14
15,15,,,2862,15,15
16,16,,,2862,16,16
17,17,,,2862,17,17
18,18,,,2862,18,18
19,19,,,2862,19,19
20,20,,,2862,20,20
21,21,,,2862,21,21
22,22,,,2862,22,22
23,23,54000,,2862,23,23
24,24,,,2882,24,24
25,25,,,2902,25,25
26,26,,,2921,26,26
27,27,,,2941,27,27
28,28,,,2961,28,28
29,29,,,2980,29,29
30,30,,,3000,30,30
31,31,,,3000,31,31
32,32,,,3000,32,32
33,33,,,3000,33,33
34,34,,,3000,34,34
35,35,,,3000,35,35
36,36,,,3000,36,36
37,37,,,3000,37,37
38,38,,,3000,38,38
39,39,,,3000,39,39
40,40,,,3000,40,40
41,41,,,3000,41,41
42,42,,,3000,42,42
43,43,,,3000,43,43
44,44,,,3000,44,44
45,45,120000,,3000,45,45
46,46,,,3714,46,46
47,47,,,4429,47,47
48,48,,,5143,48,48
49,49,,,5857,49,49
50,50,,,6571,50,50
51,51,,,7286,51,51
52,52,,,8000,52,52
53,53,,,8000,53,53
54,54,,,8000,54,54
55,55,,,8000,55,55
56,56,,,8000,56,56
57,57,,,8000,57,57
58,58,,,8000,58,58
59,59,,,8000,59,59
60,60,240000,,8000,60,60
61,61,,,8846,61,61
62,62,,,9692,62,62
63,63,,,10538,63,63
64,64,,,11384,64,64
65,65,,,12229,65,65
66,66,,,13075,66,66
67,67,,,13921,67,67
68,68,,,13921,68,68
69,69,,,13921,69,69
70,70,,,13921,70,70
71,71,,,13921,71,71
72,72,,,13921,72,72
73,73,,,13921,73,73
74,74,,,13921,74,74
75,75,,,13921,75,75
76,76,,,13921,76,76
77,77,,,13921,77,77
78,78,,,13921,78,78
79,79,448878,55624,13921,79,79
80,80,,,12621,80,80
81,81,,,11321,81,81
82,82,,,10022,82,82
83,83,,,8722,83,83
84,84,,,7422,84,84
85,85,,,6122,85,85
86,86,,,4822,86,86
87,87,,,4822,87,87
88,88,470341,77560,4822,88,88
89,89,,,5040,89,89
