country_id,country,iso_code
1,Afghanistan,AFG
2,Afghanistan,AFG
3,Afghanistan,AFG
4,Afghanistan,AFG
5,Afghanistan,AFG
6,Afghanistan,AFG
7,Afghanistan,AFG
8,Afghanistan,AFG
9,Afghanistan,AFG
10,Afghanistan,AFG
11,Afghanistan,AFG
12,Afghanistan,AFG
13,Afghanistan,AFG
14,Afghanistan,AFG
15,Afghanistan,AFG
16,Afghanistan,AFG
17,Afghanistan,AFG
18,Afghanistan,AFG
19,Afghanistan,AFG
20,Afghanistan,AFG
21,Afghanistan,AFG
22,Afghanistan,AFG
23,Afghanistan,AFG
24,Afghanistan,AFG
25,Afghanistan,AFG
26,Afghanistan,AFG
27,Afghanistan,AFG
28,Afghanistan,AFG
29,Afghanistan,AFG
30,Afghanistan,AFG
31,Afghanistan,AFG
32,Afghanistan,AFG
33,Afghanistan,AFG
34,Afghanistan,AFG
35,Afghanistan,AFG
36,Afghanistan,AFG
37,Afghanistan,AFG
38,Afghanistan,AFG
39,Afghanistan,AFG
40,Afghanistan,AFG
41,Afghanistan,AFG
42,Afghanistan,AFG
43,Afghanistan,AFG
44,Afghanistan,AFG
45,Afghanistan,AFG
46,Afghanistan,AFG
47,Afghanistan,AFG
48,Afghanistan,AFG
49,Afghanistan,AFG
50,Afghanistan,AFG
51,Afghanistan,AFG
52,Afghanistan,AFG
53,Afghanistan,AFG
54,Afghanistan,AFG
55,Afghanistan,AFG
56,Afghanistan,AFG
57,Afghanistan,AFG
58,Afghanistan,AFG
59,Afghanistan,AFG
60,Afghanistan,AFG
61,Afghanistan,AFG
62,Afghanistan,AFG
63,Afghanistan,AFG
64,Afghanistan,AFG
65,Afghanistan,AFG
66,Afghanistan,AFG
67,Afghanistan,AFG
68,Afghanistan,AFG
69,Afghanistan,AFG
70,Afghanistan,AFG
71,Afghanistan,AFG
72,Afghanistan,AFG
73,Afghanistan,AFG
74,Afghanistan,AFG
75,Afghanistan,AFG
76,Afghanistan,AFG
77,Afghanistan,AFG
78,Afghanistan,AFG
79,Afghanistan,AFG
80,Afghanistan,AFG
81,Afghanistan,AFG
82,Afghanistan,AFG
83,Afghanistan,AFG
84,Afghanistan,AFG
85,Afghanistan,AFG
86,Afghanistan,AFG
87,Afghanistan,AFG
88,Afghanistan,AFG
89,Afghanistan,AFG
90,Afghanistan,AFG
91,Afghanistan,AFG
92,Afghanistan,AFG
93,Afghanistan,AFG
94,Afghanistan,AFG
95,Afghanistan,AFG
96,Afghanistan,AFG
97,Afghanistan,AFG
98,Afghanistan,AFG
99,Afghanistan,AFG
100,Afghanistan,AFG
101,Afghanistan,AFG
102,Afghanistan,AFG
103,Afghanistan,AFG
104,Afghanistan,AFG
105,Afghanistan,AFG
106,Afghanistan,AFG
107,Afghanistan,AFG
108,Afghanistan,AFG
109,Afghanistan,AFG
110,Afghanistan,AFG
111,Afghanistan,AFG
112,Afghanistan,AFG
113,Afghanistan,AFG
114,Afghanistan,AFG
115,Afghanistan,AFG
116,Afghanistan,AFG
117,Afghanistan,AFG
118,Afghanistan,AFG
119,Afghanistan,AFG
120,Afghanistan,AFG
121,Afghanistan,AFG
122,Afghanistan,AFG
123,Afghanistan,AFG
124,Afghanistan,AFG
125,Afghanistan,AFG
126,Afghanistan,AFG
127,Afghanistan,AFG
128,Afghanistan,AFG
129,Afghanistan,AFG
130,Afghanistan,AFG
131,Afghanistan,AFG
132,Afghanistan,AFG
133,Afghanistan,AFG
134,Afghanistan,AFG
135,Afghanistan,AFG
136,Afghanistan,AFG
137,Afghanistan,AFG
138,Afghanistan,AFG
139,Afghanistan,AFG
140,Afghanistan,AFG
141,Afghanistan,AFG
142,Afghanistan,AFG
143,Afghanistan,AFG
144,Afghanistan,AFG
145,Afghanistan,AFG
146,Afghanistan,AFG
147,Afghanistan,AFG
148,Afghanistan,AFG
149,Afghanistan,AFG
150,Afghanistan,AFG
151,Afghanistan,AFG
152,Afghanistan,AFG
153,Afghanistan,AFG
154,Afghanistan,AFG
155,Afghanistan,AFG
156,Afghanistan,AFG
157,Afghanistan,AFG
158,Afghanistan,AFG
159,Afghanistan,AFG
160,Afghanistan,AFG
161,Afghanistan,AFG
162,Afghanistan,AFG
163,Afghanistan,AFG
164,Afghanistan,AFG
165,Afghanistan,AFG
166,Afghanistan,AFG
167,Afghanistan,AFG
168,Afghanistan,AFG
169,Afghanistan,AFG
170,Afghanistan,AFG
171,Afghanistan,AFG
172,Afghanistan,AFG
173,Afghanistan,AFG
174,Afghanistan,AFG
175,Afghanistan,AFG
176,Afghanistan,AFG
177,Afghanistan,AFG
178,Afghanistan,AFG
179,Afghanistan,AFG
180,Afghanistan,AFG
181,Afghanistan,AFG
182,Afghanistan,AFG
183,Afghanistan,AFG
184,Afghanistan,AFG
185,Afghanistan,AFG
186,Afghanistan,AFG
187,Afghanistan,AFG
188,Afghanistan,AFG
189,Afghanistan,AFG
190,Afghanistan,AFG
191,Afghanistan,AFG
192,Afghanistan,AFG
193,Afghanistan,AFG
194,Afghanistan,AFG
195,Afghanistan,AFG
196,Afghanistan,AFG
197,Afghanistan,AFG
198,Afghanistan,AFG
199,Afghanistan,AFG
200,Afghanistan,AFG
201,Afghanistan,AFG
202,Afghanistan,AFG
203,Afghanistan,AFG
204,Afghanistan,AFG
205,Afghanistan,AFG
206,Afghanistan,AFG
207,Afghanistan,AFG
208,Afghanistan,AFG
209,Afghanistan,AFG
210,Afghanistan,AFG
211,Afghanistan,AFG
212,Afghanistan,AFG
213,Afghanistan,AFG
214,Afghanistan,AFG
215,Afghanistan,AFG
216,Afghanistan,AFG
217,Afghanistan,AFG
218,Afghanistan,AFG
219,Afghanistan,AFG
220,Afghanistan,AFG
221,Afghanistan,AFG
222,Afghanistan,AFG
223,Afghanistan,AFG
224,Afghanistan,AFG
225,Afghanistan,AFG
226,Afghanistan,AFG
227,Afghanistan,AFG
228,Afghanistan,AFG
229,Afghanistan,AFG
230,Afghanistan,AFG
231,Afghanistan,AFG
232,Afghanistan,AFG
233,Afghanistan,AFG
234,Afghanistan,AFG
235,Afghanistan,AFG
236,Afghanistan,AFG
237,Afghanistan,AFG
238,Afghanistan,AFG
239,Afghanistan,AFG
240,Afghanistan,AFG
241,Afghanistan,AFG
242,Afghanistan,AFG
243,Afghanistan,AFG
244,Afghanistan,AFG
245,Afghanistan,AFG
246,Afghanistan,AFG
247,Afghanistan,AFG
248,Afghanistan,AFG
249,Afghanistan,AFG
250,Afghanistan,AFG
251,Afghanistan,AFG
252,Afghanistan,AFG
253,Afghanistan,AFG
254,Afghanistan,AFG
255,Afghanistan,AFG
256,Afghanistan,AFG
257,Afghanistan,AFG
258,Afghanistan,AFG
259,Afghanistan,AFG
260,Afghanistan,AFG
261,Afghanistan,AFG
262,Afghanistan,AFG
263,Afghanistan,AFG
264,Afghanistan,AFG
265,Afghanistan,AFG
266,Afghanistan,AFG
267,Afghanistan,AFG
268,Afghanistan,AFG
269,Afghanistan,AFG
270,Afghanistan,AFG
271,Afghanistan,AFG
272,Afghanistan,AFG
273,Afghanistan,AFG
274,Afghanistan,AFG
275,Afghanistan,AFG
276,Afghanistan,AFG
277,Afghanistan,AFG
278,Afghanistan,AFG
279,Afghanistan,AFG
280,Afghanistan,AFG
281,Afghanistan,AFG
282,Afghanistan,AFG
283,Afghanistan,AFG
284,Afghanistan,AFG
285,Afghanistan,AFG
286,Afghanistan,AFG
287,Afghanistan,AFG
288,Afghanistan,AFG
289,Afghanistan,AFG
290,Afghanistan,AFG
291,Afghanistan,AFG
292,Afghanistan,AFG
293,Afghanistan,AFG
294,Afghanistan,AFG
295,Afghanistan,AFG
296,Afghanistan,AFG
297,Afghanistan,AFG
298,Afghanistan,AFG
299,Afghanistan,AFG
300,Afghanistan,AFG
301,Afghanistan,AFG
302,Afghanistan,AFG
303,Afghanistan,AFG
304,Afghanistan,AFG
305,Afghanistan,AFG
306,Afghanistan,AFG
307,Afghanistan,AFG
308,Afghanistan,AFG
309,Afghanistan,AFG
310,Afghanistan,AFG
311,Afghanistan,AFG
312,Afghanistan,AFG
313,Afghanistan,AFG
314,Afghanistan,AFG
315,Afghanistan,AFG
316,Afghanistan,AFG
317,Afghanistan,AFG
318,Afghanistan,AFG
319,Afghanistan,AFG
320,Afghanistan,AFG
321,Afghanistan,AFG
322,Afghanistan,AFG
323,Afghanistan,AFG
324,Afghanistan,AFG
325,Afghanistan,AFG
326,Afghanistan,AFG
327,Afghanistan,AFG
328,Afghanistan,AFG
329,Afghanistan,AFG
330,Afghanistan,AFG
331,Afghanistan,AFG
332,Afghanistan,AFG
333,Afghanistan,AFG
334,Afghanistan,AFG
335,Afghanistan,AFG
336,Afghanistan,AFG
337,Afghanistan,AFG
338,Afghanistan,AFG
339,Afghanistan,AFG
340,Afghanistan,AFG
341,Afghanistan,AFG
342,Afghanistan,AFG
343,Afghanistan,AFG
344,Afghanistan,AFG
345,Afghanistan,AFG
346,Afghanistan,AFG
347,Afghanistan,AFG
348,Afghanistan,AFG
349,Afghanistan,AFG
350,Afghanistan,AFG
351,Afghanistan,AFG
352,Afghanistan,AFG
353,Afghanistan,AFG
354,Afghanistan,AFG
355,Afghanistan,AFG
356,Afghanistan,AFG
357,Afghanistan,AFG
358,Afghanistan,AFG
359,Afghanistan,AFG
360,Afghanistan,AFG
361,Afghanistan,AFG
362,Afghanistan,AFG
363,Afghanistan,AFG
364,Afghanistan,AFG
365,Afghanistan,AFG
366,Afghanistan,AFG
367,Afghanistan,AFG
368,Afghanistan,AFG
369,Afghanistan,AFG
370,Afghanistan,AFG
371,Afghanistan,AFG
372,Afghanistan,AFG
373,Afghanistan,AFG
374,Afghanistan,AFG
375,Afghanistan,AFG
376,Afghanistan,AFG
377,Afghanistan,AFG
378,Afghanistan,AFG
379,Afghanistan,AFG
380,Afghanistan,AFG
381,Afghanistan,AFG
382,Afghanistan,AFG
383,Afghanistan,AFG
384,Afghanistan,AFG
385,Afghanistan,AFG
386,Afghanistan,AFG
387,Afghanistan,AFG
388,Afghanistan,AFG
389,Afghanistan,AFG
390,Afghanistan,AFG
391,Afghanistan,AFG
392,Afghanistan,AFG
393,Afghanistan,AFG
394,Afghanistan,AFG
395,Albania,ALB
396,Albania,ALB
397,Albania,ALB
398,Albania,ALB
399,Albania,ALB
400,Albania,ALB
401,Albania,ALB
402,Albania,ALB
403,Albania,ALB
404,Albania,ALB
405,Albania,ALB
406,Albania,ALB
407,Albania,ALB
408,Albania,ALB
409,Albania,ALB
410,Albania,ALB
411,Albania,ALB
412,Albania,ALB
413,Albania,ALB
414,Albania,ALB
415,Albania,ALB
416,Albania,ALB
417,Albania,ALB
418,Albania,ALB
419,Albania,ALB
420,Albania,ALB
421,Albania,ALB
422,Albania,ALB
423,Albania,ALB
424,Albania,ALB
425,Albania,ALB
426,Albania,ALB
427,Albania,ALB
428,Albania,ALB
429,Albania,ALB
430,Albania,ALB
431,Albania,ALB
432,Albania,ALB
433,Albania,ALB
434,Albania,ALB
435,Albania,ALB
436,Albania,ALB
437,Albania,ALB
438,Albania,ALB
439,Albania,ALB
440,Albania,ALB
441,Albania,ALB
442,Albania,ALB
443,Albania,ALB
444,Albania,ALB
445,Albania,ALB
446,Albania,ALB
447,Albania,ALB
448,Albania,ALB
449,Albania,ALB
450,Albania,ALB
451,Albania,ALB
452,Albania,ALB
453,Albania,ALB
454,Albania,ALB
455,Albania,ALB
456,Albania,ALB
457,Albania,ALB
458,Albania,ALB
459,Albania,ALB
460,Albania,ALB
461,Albania,ALB
462,Albania,ALB
463,Albania,ALB
464,Albania,ALB
465,Albania,ALB
466,Albania,ALB
467,Albania,ALB
468,Albania,ALB
469,Albania,ALB
470,Albania,ALB
471,Albania,ALB
472,Albania,ALB
473,Albania,ALB
474,Albania,ALB
475,Albania,ALB
476,Albania,ALB
477,Albania,ALB
478,Albania,ALB
479,Albania,ALB
480,Albania,ALB
481,Albania,ALB
482,Albania,ALB
483,Albania,ALB
484,Albania,ALB
485,Albania,ALB
486,Albania,ALB
487,Albania,ALB
488,Albania,ALB
489,Albania,ALB
490,Albania,ALB
491,Albania,ALB
492,Albania,ALB
493,Albania,ALB
494,Albania,ALB
495,Albania,ALB
496,Albania,ALB
497,Albania,ALB
498,Albania,ALB
499,Albania,ALB
500,Albania,ALB
501,Albania,ALB
502,Albania,ALB
503,Albania,ALB
504,Albania,ALB
505,Albania,ALB
506,Albania,ALB
507,Albania,ALB
508,Albania,ALB
509,Albania,ALB
510,Albania,ALB
511,Albania,ALB
512,Albania,ALB
513,Albania,ALB
514,Albania,ALB
515,Albania,ALB
516,Albania,ALB
517,Albania,ALB
518,Albania,ALB
519,Albania,ALB
520,Albania,ALB
521,Albania,ALB
522,Albania,ALB
523,Albania,ALB
524,Albania,ALB
525,Albania,ALB
526,Albania,ALB
527,Albania,ALB
528,Albania,ALB
529,Albania,ALB
530,Albania,ALB
531,Albania,ALB
532,Albania,ALB
533,Albania,ALB
534,Albania,ALB
535,Albania,ALB
536,Albania,ALB
537,Albania,ALB
538,Albania,ALB
539,Albania,ALB
540,Albania,ALB
541,Albania,ALB
542,Albania,ALB
543,Albania,ALB
544,Albania,ALB
545,Albania,ALB
546,Albania,ALB
547,Albania,ALB
548,Albania,ALB
549,Albania,ALB
550,Albania,ALB
551,Albania,ALB
552,Albania,ALB
553,Albania,ALB
554,Albania,ALB
555,Albania,ALB
556,Albania,ALB
557,Albania,ALB
558,Albania,ALB
559,Albania,ALB
560,Albania,ALB
561,Albania,ALB
562,Albania,ALB
563,Albania,ALB
564,Albania,ALB
565,Albania,ALB
566,Albania,ALB
567,Albania,ALB
568,Albania,ALB
569,Albania,ALB
570,Albania,ALB
571,Albania,ALB
572,Albania,ALB
573,Albania,ALB
574,Albania,ALB
575,Albania,ALB
576,Albania,ALB
577,Albania,ALB
578,Albania,ALB
579,Albania,ALB
580,Albania,ALB
581,Albania,ALB
582,Albania,ALB
583,Albania,ALB
584,Albania,ALB
585,Albania,ALB
586,Albania,ALB
587,Albania,ALB
588,Albania,ALB
589,Albania,ALB
590,Albania,ALB
591,Albania,ALB
592,Albania,ALB
593,Albania,ALB
594,Albania,ALB
595,Albania,ALB
596,Albania,ALB
597,Albania,ALB
598,Albania,ALB
599,Albania,ALB
600,Albania,ALB
601,Albania,ALB
602,Albania,ALB
603,Albania,ALB
604,Albania,ALB
605,Albania,ALB
606,Albania,ALB
